термин tf idf tf-idf
познавательный 0.000653 2.350497 0.001535
час 0.000653 1.765535 0.001153
впечатление 0.000653 1.148863 0.000750
заведение 0.001958 0.133267 0.000261
гость 0.000653 0.133267 0.000087
особенно 0.001305 1.462972 0.001909
большой 0.003264 0.584963 0.001909
превзойти 0.000653 2.424498 0.001583
хороший 0.003264 0.057715 0.000188
понимать 0.000653 2.087463 0.001363
месяц 0.000653 0.368645 0.000241
интеллектуальный 0.001305 0.117836 0.000154
друг 0.000653 1.350497 0.000882
дружелюбный 0.000653 2.212994 0.001445
евдокимов 0.000653 3.212994 0.002098
акция 0.000653 2.148863 0.001403
довольный 0.003916 1.350497 0.005289
выдавать 0.000653 1.765535 0.001153
практический 0.004569 0.350497 0.001601
астролог 0.001305 4.350497 0.005677
объяснить 0.000653 1.971986 0.001288
одобрить 0.000653 0.86507 0.000565
нужно 0.001958 0.263034 0.000515
агрегатор 0.000653 0.133267 0.000087
внеурочный 0.000653 3.212994 0.002098
анастасия 0.003264 1.971986 0.006437
скачать 0.000653 2.672425 0.001745
прочный 0.001305 3.087463 0.004029
искать 0.001958 1.0 0.001958
описание 0.001958 0.971986 0.001903
хобби 0.000653 2.148863 0.001403
проверяться 0.000653 0.814444 0.000532
пытаться 0.000653 2.148863 0.001403
точно 0.000653 1.971986 0.001288
подходящий 0.000653 0.280108 0.000183
тонкость 0.000653 1.814444 0.001185
процесс 0.001958 0.563901 0.001104
выдаваться 0.001305 1.087463 0.001419
снова 0.000653 2.971986 0.001941
графический 0.001305 1.672425 0.002183
новичок 0.003264 0.443607 0.001448
интернет 0.001305 0.917538 0.001197
именной 0.001305 4.350497 0.005677
блог 0.001958 0.0 0.000000
комментировать 0.000653 2.971986 0.001941
дорого 0.000653 2.212994 0.001445
обучать 0.001305 0.117836 0.000154
диплом 0.001305 0.789782 0.001031
сергей 0.000653 2.212994 0.001445
дружелюбно 0.000653 3.212994 0.002098
предмет 0.000653 1.5025 0.000981
фотошоп 0.001305 3.087463 0.004029
гибкий 0.000653 2.424498 0.001583
сидоров 0.000653 3.212994 0.002098
проводиться 0.000653 1.971986 0.001288
левчинков 0.000653 3.087463 0.002016
соглашение 0.000653 0.133267 0.000087
онлайн 0.005875 0.117836 0.000692
делать 0.002611 0.741688 0.001937
позитивный 0.000653 2.584963 0.001688
мочь 0.002611 0.0 0.000000
трудность 0.000653 2.672425 0.001745
цветковый 0.000653 3.212994 0.002098
прийти 0.000653 1.672425 0.001092
учебный 0.004569 0.0 0.000000
вроде 0.001305 2.86507 0.003739
фотография 0.000653 1.765535 0.001153
фамилия 0.000653 0.133267 0.000087
личный 0.001958 0.297386 0.000582
студент 0.000653 1.0 0.000653
график 0.001958 1.148863 0.002249
приятный 0.002611 1.5025 0.003923
закрепляться 0.000653 1.814444 0.001185
лукаш 0.000653 3.087463 0.002016
легко 0.000653 1.462972 0.000955
видеоурок 0.000653 0.839535 0.000548
давать 0.005875 0.891066 0.005235
долго 0.000653 1.917538 0.001252
заставлять 0.000653 2.087463 0.001363
основа 0.001958 0.741688 0.001452
уместить 0.000653 3.087463 0.002016
сравнение 0.000653 1.028569 0.000672
каждый 0.003916 0.133267 0.000522
нужный 0.001305 0.814444 0.001063
бёрник 0.000653 3.212994 0.002098
усков 0.000653 3.087463 0.002016
татьяна 0.000653 1.86507 0.001218
насыщенный 0.000653 1.280108 0.000836
служба 0.000653 1.765535 0.001153
таргетировать 0.000653 2.148863 0.001403
имя 0.000653 0.014214 0.000009
домашний 0.003916 0.443607 0.001737
длиться 0.002611 1.765535 0.004610
недосказанность 0.000653 3.087463 0.002016
логично 0.000653 3.212994 0.002098
конфликт 0.000653 3.087463 0.002016
интересовать 0.000653 0.584963 0.000382
разместить 0.001305 0.117836 0.000154
отвагин 0.000653 3.087463 0.002016
бизнес 0.000653 0.117836 0.000077
консультант 0.000653 3.087463 0.002016
формула 0.000653 2.971986 0.001941
нибыть 0.000653 2.028569 0.001325
человек 0.000653 1.180572 0.000771
копирайтинг 0.000653 1.180572 0.000771
девушка 0.000653 2.971986 0.001941
сделать 0.000653 0.672425 0.000439
организация 0.000653 1.584963 0.001035
секретик 0.000653 3.212994 0.002098
должный 0.000653 1.765535 0.001153
визуальный 0.001305 0.133267 0.000174
рассказывать 0.001305 1.028569 0.001342
подача 0.000653 1.028569 0.000672
домашка 0.001305 1.718229 0.002242
прогнозировать 0.000653 5.087463 0.003322
жизнь 0.000653 1.917538 0.001252
взаимосвязь 0.000653 4.672425 0.003051
виктория 0.000653 1.628031 0.001063
лаконичный 0.000653 2.971986 0.001941
скетчинга 0.000653 3.087463 0.002016
преподаватель 0.024151 0.263034 0.006353
доступ 0.001305 0.424498 0.000554
выучиться 0.000653 2.86507 0.001871
шестаков 0.000653 3.087463 0.002016
проверять 0.000653 1.314873 0.000859
писать 0.000653 1.628031 0.001063
проект 0.000653 0.0 0.000000
преподавать 0.000653 2.672425 0.001745
целое 0.002611 1.212994 0.003167
вода 0.000653 0.86507 0.000565
обучаться 0.000653 0.789782 0.000516
цена 0.003264 0.297386 0.000971
сложно 0.000653 1.628031 0.001063
советовать 0.000653 2.028569 0.001325
отправить 0.000653 0.10257 0.000067
душа 0.000653 2.765535 0.001806
урок 0.000653 0.297386 0.000194
составить 0.000653 1.350497 0.000882
рубрикатор 0.000653 0.350497 0.000229
поэтому 0.000653 0.650058 0.000424
понять 0.000653 1.028569 0.000672
платно 0.000653 3.212994 0.002098
специалист 0.001305 0.718229 0.000937
пригодиться 0.001305 1.718229 0.002242
светлана 0.001305 1.672425 0.002183
всё 0.009791 0.014214 0.000139
ранний 0.001958 2.424498 0.004747
теоретический 0.000653 1.584963 0.001035
содержать 0.000653 0.180572 0.000118
обратный 0.001305 0.072512 0.000095
внимание 0.000653 1.584963 0.001035
живой 0.000653 2.087463 0.001363
ирина 0.001958 1.672425 0.003275
маргарита 0.000653 3.087463 0.002016
таргет 0.000653 2.5025 0.001634
наталья 0.003264 1.5025 0.004904
яндекс 0.001305 0.133267 0.000174
около 0.000653 0.133267 0.000087
практиковать 0.000653 2.087463 0.001363
рекомендовать 0.002611 0.5025 0.001312
чувствовать 0.001305 2.672425 0.003488
лист 0.000653 1.718229 0.001122
профессионал 0.001958 0.584963 0.001145
кабинет 0.001305 0.387023 0.000505
высочин 0.000653 3.212994 0.002098
планета 0.001958 5.087463 0.009961
увлекательный 0.000653 1.387023 0.000906
оформление 0.000653 2.028569 0.001325
ознакомление 0.000653 3.087463 0.002016
опубликовать 0.000653 0.628031 0.000410
время 0.003264 0.014214 0.000046
далее 0.001305 0.584963 0.000763
кадровый 0.000653 2.5025 0.001634
влияние 0.000653 5.087463 0.003322
работа 0.004569 0.10257 0.000469
комментарий 0.005222 0.10257 0.000536
продумать 0.000653 1.86507 0.001218
купить 0.000653 0.814444 0.000532
финансы 0.000653 0.133267 0.000087
формат 0.001958 0.180572 0.000354
спасибо 0.001305 1.5025 0.001961
срок 0.001305 1.672425 0.002183
принимать 0.000653 0.628031 0.000410
хватать 0.000653 1.917538 0.001252
это 0.002611 0.014214 0.000037
знать 0.001305 0.672425 0.000878
действительно 0.000653 1.087463 0.000710
ндфл 0.000653 1.814444 0.001185
автомат 0.000653 3.212994 0.002098
дробышев 0.000653 3.212994 0.002098
просто 0.000653 0.718229 0.000469
ошибка 0.001305 0.072512 0.000095
сообщить 0.000653 0.133267 0.000087
наставник 0.000653 0.839535 0.000548
щагвино 0.000653 3.087463 0.002016
дарья 0.001305 2.280108 0.002976
смм 0.001958 1.424498 0.002789
гораздо 0.000653 1.86507 0.001218
регистрация 0.001305 0.133267 0.000174
наш 0.001305 1.148863 0.001499
кук 0.000653 0.133267 0.000087
восторг 0.000653 1.765535 0.001153
изучение 0.000653 0.718229 0.000469
ретроградный 0.000653 5.672425 0.003704
иностранный 0.000653 0.133267 0.000087
оставаться 0.000653 1.0 0.000653
слушать 0.001958 1.462972 0.002864
хап 0.000653 3.212994 0.002098
фотограф 0.001305 2.350497 0.003067
освоить 0.000653 1.246161 0.000814
аз 0.000653 2.971986 0.001941
запретить 0.001305 0.133267 0.000174
серьёзный 0.001305 2.148863 0.002804
александр 0.001305 1.314873 0.001716
получать 0.000653 0.765535 0.000500
привязывать 0.000653 3.087463 0.002016
сократить 0.000653 3.087463 0.002016
казаться 0.001305 2.584963 0.003373
сайт 0.004569 0.0 0.000000
школа 0.01893 0.133267 0.002523
лектор 0.000653 1.462972 0.000955
рамка 0.000653 2.424498 0.001583
сжатый 0.000653 2.5025 0.001634
несколько 0.000653 0.606336 0.000396
доходчивый 0.000653 3.212994 0.002098
ученик 0.003916 0.164631 0.000645
игорь 0.000653 2.971986 0.001941
обучение 0.011749 0.087463 0.001028
наполнить 0.000653 2.86507 0.001871
подаваться 0.000653 2.86507 0.001871
работать 0.003916 0.133267 0.000522
приём 0.000653 2.5025 0.001634
растянутый 0.000653 2.028569 0.001325
свой 0.003916 0.043069 0.000169
вместе 0.000653 3.5025 0.002287
заинтересованный 0.000653 3.087463 0.002016
продолжительность 0.000653 1.028569 0.000672
елена 0.000653 1.86507 0.001218
курс 0.056789 0.057715 0.003278
сначала 0.001305 1.148863 0.001499
информация 0.008486 0.057715 0.000490
пользователь 0.000653 0.482601 0.000315
удобно 0.000653 0.971986 0.000635
яковлев 0.001305 3.087463 0.004029
развитие 0.000653 1.117836 0.000730
вк 0.001958 0.133267 0.000261
лайтрум 0.000653 3.087463 0.002016
обстановка 0.000653 3.087463 0.002016
засчитать 0.019582 0.839535 0.016440
вопрос 0.007833 0.332575 0.002605
юлия 0.001305 0.628031 0.000820
избранный 0.001305 0.133267 0.000174
отношение 0.000653 1.672425 0.001092
радеть 0.000653 3.087463 0.002016
понравиться 0.006527 1.180572 0.007706
база 0.001305 1.280108 0.001671
интерес 0.000653 1.86507 0.001218
разный 0.000653 0.584963 0.000382
работодатель 0.000653 1.628031 0.001063
занятие 0.005222 0.314873 0.001644
ян 0.000653 2.087463 0.001363
неделя 0.003264 0.563901 0.001841
сразу 0.000653 0.628031 0.000410
задавать 0.000653 0.765535 0.000500
постепенно 0.000653 1.718229 0.001122
лайфхак 0.000653 1.584963 0.001035
интересный 0.00718 0.628031 0.004509
минус 0.020888 0.789782 0.016497
дополнительный 0.000653 1.212994 0.000792
любовь 0.000653 3.212994 0.002098
лёгкий 0.000653 1.917538 0.001252
особенность 0.000653 0.246161 0.000161
забота 0.000653 3.087463 0.002016
тема 0.004569 0.148863 0.000680
оферта 0.001305 0.133267 0.000174
программа 0.007833 0.0 0.000000
достойный 0.001958 2.971986 0.005819
штука 0.000653 3.212994 0.002098
зачастую 0.000653 0.606336 0.000396
маркетинг 0.001305 0.695145 0.000907
профи 0.000653 0.971986 0.000635
быстро 0.001305 0.917538 0.001197
совет 0.001305 0.891066 0.001163
подробно 0.001958 0.917538 0.001797
написать 0.003264 0.462972 0.001511
самостоятельный 0.000653 1.148863 0.000750
поиск 0.000653 0.10257 0.000067
команда 0.000653 1.424498 0.000930
посещать 0.001305 2.765535 0.003609
ру 0.000653 0.117836 0.000077
стоить 0.000653 0.789782 0.000516
никто 0.000653 1.628031 0.001063
событие 0.002611 0.133267 0.000348
маловатый 0.000653 3.212994 0.002098
стоимость 0.000653 0.695145 0.000454
пройда 0.000653 3.087463 0.002016
дизайн 0.003264 0.765535 0.002499
слишком 0.001958 1.672425 0.003275
задание 0.00718 0.368645 0.002647
делиться 0.000653 1.314873 0.000859
ник 0.000653 3.087463 0.002016
пароль 0.004569 0.133267 0.000609
дистанционный 0.000653 0.314873 0.000206
объяснение 0.000653 3.212994 0.002098
следить 0.000653 2.86507 0.001871
меню 0.000653 0.117836 0.000077
короткий 0.000653 1.314873 0.000859
сэкономить 0.000653 3.087463 0.002016
кадровик 0.000653 2.765535 0.001806
сфера 0.000653 1.057715 0.000691
самостоятельно 0.000653 1.028569 0.000672
уровень 0.001958 0.741688 0.001452
метод 0.001958 2.212994 0.004333
мало 0.000653 1.387023 0.000906
заголовок 0.000653 0.839535 0.000548
астрология 0.004569 4.350497 0.019877
страница 0.001958 0.314873 0.000617
момент 0.001305 1.0 0.001305
прогноз 0.001305 3.86507 0.005044
уметь 0.000653 1.350497 0.000882
гайда 0.000653 2.028569 0.001325
вычет 0.000653 1.718229 0.001122
предсказывать 0.000653 5.672425 0.003704
включать 0.000653 1.148863 0.000750
реклама 0.001305 0.332575 0.000434
акимов 0.000653 3.087463 0.002016
многий 0.000653 2.087463 0.001363
связать 0.001305 1.86507 0.002434
интерпретация 0.000653 5.672425 0.003704
неточность 0.000653 0.133267 0.000087
международный 0.006527 1.814444 0.011843
забыть 0.001958 0.133267 0.000261
веб 0.001305 1.148863 0.001499
управление 0.000653 0.10257 0.000067
условие 0.001305 0.028569 0.000037
ваш 0.001305 0.280108 0.000366
мобильный 0.000653 1.917538 0.001252
собственность 0.001305 0.133267 0.000174
илья 0.000653 2.971986 0.001941
уделять 0.000653 2.280108 0.001489
представление 0.000653 2.280108 0.001489
отзыв 0.031984 0.164631 0.005266
объяснять 0.00718 0.971986 0.006979
стать 0.001305 0.695145 0.000907
сложный 0.000653 0.839535 0.000548
удобный 0.001305 0.314873 0.000411
порадовать 0.000653 3.087463 0.002016
воспользоваться 0.000653 0.297386 0.000194
остаться 0.003264 1.387023 0.004527
сухой 0.000653 3.212994 0.002098
приемлемый 0.000653 1.718229 0.001122
отлично 0.001305 2.424498 0.003164
исчерпывающий 0.000653 2.672425 0.001745
отвечать 0.004569 0.5025 0.002296
углубиться 0.000653 2.087463 0.001363
новый 0.002611 0.263034 0.000687
лекция 0.001305 0.695145 0.000907
справиться 0.000653 2.971986 0.001941
валентина 0.000653 2.087463 0.001363
пересмотреть 0.000653 1.971986 0.001288
задать 0.000653 0.462972 0.000302
восстановить 0.000653 0.133267 0.000087
р 0.002611 0.462972 0.001209
сертификат 0.005875 0.424498 0.002494
классный 0.000653 2.424498 0.001583
артём 0.000653 2.087463 0.001363
использовать 0.001305 0.0 0.000000
проведение 0.000653 1.180572 0.000771
пример 0.001958 0.814444 0.001595
продвижение 0.000653 1.212994 0.000792
высылать 0.000653 2.86507 0.001871
получаться 0.000653 2.087463 0.001363
адекватный 0.000653 2.350497 0.001535
навык 0.000653 0.86507 0.000565
окончание 0.001305 0.86507 0.001129
переходить 0.000653 1.917538 0.001252
длительный 0.000653 2.350497 0.001535
являться 0.002611 0.028569 0.000075
натальный 0.000653 5.087463 0.003322
грамотный 0.003264 1.246161 0.004067
который 0.003916 0.057715 0.000226
степанов 0.000653 3.087463 0.002016
схема 0.000653 2.350497 0.001535
помощь 0.003264 0.280108 0.000914
согласие 0.001305 0.133267 0.000174
настроить 0.001305 1.350497 0.001762
учёба 0.001305 1.212994 0.001583
ознакомительный 0.001305 0.133267 0.000174
ожидание 0.001305 1.584963 0.002068
школьный 0.000653 0.133267 0.000087
рассказать 0.000653 0.944505 0.000617
уверенный 0.000653 2.765535 0.001806
документация 0.000653 2.028569 0.001325
войти 0.005222 0.117836 0.000615
выбирать 0.001305 1.246161 0.001626
поделиться 0.000653 0.584963 0.000382
верещагин 0.000653 3.212994 0.002098
выбрать 0.001305 0.443607 0.000579
образование 0.001958 0.133267 0.000261
группа 0.000653 1.212994 0.000792
менеджер 0.001958 0.917538 0.001797
долгий 0.000653 2.148863 0.001403
ещ 0.000653 1.86507 0.001218
точный 0.001305 0.117836 0.000154
простой 0.001305 0.789782 0.001031
видеомонтаж 0.000653 2.584963 0.001688
прогностика 0.003916 5.672425 0.022213
подробный 0.001305 0.10257 0.000134
ответ 0.001958 0.072512 0.000142
разобраться 0.000653 0.86507 0.000565
дизайнер 0.003264 1.280108 0.004178
сильно 0.000653 3.087463 0.002016
копирование 0.001305 0.133267 0.000174
фио 0.000653 0.814444 0.000532
максимум 0.001305 1.543142 0.002014
вовремя 0.000653 2.148863 0.001403
профессия 0.009138 0.584963 0.005345
логотип 0.000653 2.971986 0.001941
судьба 0.000653 4.087463 0.002669
неплохо 0.000653 2.028569 0.001325
ретушь 0.001958 2.5025 0.004900
атмосфера 0.000653 2.028569 0.001325
конфиденциальность 0.000653 0.0 0.000000
полезный 0.024151 0.522678 0.012623
дом 0.000653 2.028569 0.001325
профессиональный 0.001958 0.117836 0.000231
низкий 0.000653 2.86507 0.001871
использование 0.001305 0.0 0.000000
транзит 0.001958 5.672425 0.011107
соединять 0.000653 6.672425 0.004357
вебинар 0.000653 0.522678 0.000341
передать 0.000653 2.584963 0.001688
запутаться 0.000653 2.86507 0.001871
отзывчивый 0.001305 1.917538 0.002502
получить 0.005875 0.014214 0.000084
связь 0.001305 0.133267 0.000174
перерыв 0.000653 2.971986 0.001941
интерьер 0.000653 2.028569 0.001325
луппов 0.000653 3.212994 0.002098
огнев 0.000653 3.087463 0.002016
термин 0.000653 2.86507 0.001871
удалённый 0.000653 1.86507 0.001218
начальный 0.000653 2.86507 0.001871
поддержка 0.000653 0.86507 0.000565
любой 0.001958 0.148863 0.000291
марина 0.000653 2.971986 0.001941
расшифровка 0.000653 4.672425 0.003051
компетентный 0.000653 1.814444 0.001185
знание 0.005875 0.117836 0.000692
сильный 0.000653 1.917538 0.001252
идти 0.000653 1.212994 0.000792
практика 0.004569 0.314873 0.001439
скидка 0.001305 0.584963 0.000763
освежить 0.000653 2.672425 0.001745
официальный 0.001305 0.133267 0.000174
саморазвитие 0.000653 0.133267 0.000087
ценный 0.000653 1.117836 0.000730
прийтись 0.000653 1.0 0.000653
пользовательский 0.000653 0.117836 0.000077
реальный 0.000653 0.246161 0.000161
бесплатно 0.000653 0.482601 0.000315
ребёнок 0.000653 0.117836 0.000077
общение 0.000653 1.350497 0.000882
язык 0.001305 0.043069 0.000056
оценка 0.001305 0.117836 0.000154
политика 0.000653 0.0 0.000000
преподнести 0.000653 3.212994 0.002098
обучиться 0.000653 1.86507 0.001218
представитель 0.001305 0.543142 0.000709
вс 0.000653 2.028569 0.001325
помогать 0.005875 1.087463 0.006389
носить 0.001305 0.133267 0.000174
рассчитать 0.000653 1.424498 0.000930
вести 0.001958 0.718229 0.001406
подтверждение 0.000653 0.133267 0.000087
текст 0.001958 0.072512 0.000142
опытный 0.001305 1.0 0.001305
сравнить 0.000653 0.133267 0.000087
полноценный 0.000653 1.672425 0.001092
делопроизводство 0.000653 2.424498 0.001583
тематический 0.000653 2.5025 0.001634
направление 0.001305 0.280108 0.000366
учисьонлайн 0.000653 0.133267 0.000087
научиться 0.002611 0.584963 0.001527
поискать 0.000653 0.314873 0.000206
теория 0.000653 0.5025 0.000328
пока 0.001305 0.563901 0.000736
давно 0.000653 1.117836 0.000730
доступный 0.000653 0.891066 0.000582
оправдать 0.000653 1.765535 0.001153
узнавать 0.000653 2.86507 0.001871
удовольствие 0.000653 1.314873 0.000859
интересно 0.005222 1.087463 0.005679
решить 0.000653 0.839535 0.000548
оказываться 0.000653 2.672425 0.001745
работник 0.000653 2.584963 0.001688
слаженный 0.000653 3.212994 0.002098
тип 0.000653 0.741688 0.000484
доступно 0.003916 1.028569 0.004028
помочь 0.000653 0.765535 0.000500
изучать 0.001958 1.087463 0.002129
бобрицкий 0.000653 3.212994 0.002098
общий 0.001305 0.212994 0.000278
индивидуальный 0.000653 1.117836 0.000730
узнать 0.003264 0.443607 0.001448
мария 0.001958 1.814444 0.003553
весь 0.007833 0.0 0.000000
анна 0.001305 2.86507 0.003739
з 0.001305 1.387023 0.001810
разработать 0.000653 1.971986 0.001288
ссылка 0.001305 0.087463 0.000114
найти 0.000653 0.765535 0.000500
длительность 0.000653 0.297386 0.000194
присоединиться 0.000653 4.350497 0.002841
дело 0.001305 0.917538 0.001197
