термин tf idf tf-idf
познавательный 0.00063 2.350497 0.001481
час 0.00063 1.765535 0.001112
впечатление 0.00063 1.148863 0.000724
заведение 0.00189 0.133267 0.000252
гость 0.00063 0.133267 0.000084
особенно 0.00126 1.462972 0.001843
большой 0.003151 0.584963 0.001843
превзойти 0.00063 2.424498 0.001527
хороший 0.003151 0.057715 0.000182
месяц 0.00126 0.368645 0.000464
интеллектуальный 0.00126 0.117836 0.000148
друг 0.00063 1.350497 0.000851
дружелюбный 0.00063 2.212994 0.001394
евдокимов 0.00063 3.212994 0.002024
акция 0.00063 2.148863 0.001354
довольный 0.003781 1.350497 0.005106
выдавать 0.00063 1.765535 0.001112
практический 0.003781 0.350497 0.001325
объяснить 0.00063 1.971986 0.001242
одобрить 0.00063 0.86507 0.000545
цветок 0.00063 6.672425 0.004204
нужно 0.00189 0.263034 0.000497
агрегатор 0.00063 0.133267 0.000084
внеурочный 0.00063 3.212994 0.002024
анастасия 0.003151 1.971986 0.006214
скачать 0.00063 2.672425 0.001684
прочный 0.00126 3.087463 0.003890
искать 0.00189 1.0 0.001890
описание 0.00189 0.971986 0.001837
хобби 0.00063 2.148863 0.001354
проверяться 0.00063 0.814444 0.000513
пытаться 0.00063 2.148863 0.001354
точно 0.00063 1.971986 0.001242
подходящий 0.00063 0.280108 0.000176
тонкость 0.00063 1.814444 0.001143
процесс 0.00126 0.563901 0.000711
выдаваться 0.00126 1.087463 0.001370
снова 0.00063 2.971986 0.001872
графический 0.00126 1.672425 0.002107
новичок 0.003151 0.443607 0.001398
интернет 0.00126 0.917538 0.001156
блог 0.00189 0.0 0.000000
комментировать 0.00063 2.971986 0.001872
дорого 0.00063 2.212994 0.001394
обучать 0.00126 0.117836 0.000148
диплом 0.00126 0.789782 0.000995
сергей 0.00063 2.212994 0.001394
дружелюбно 0.00063 3.212994 0.002024
предмет 0.00063 1.5025 0.000947
фотошоп 0.00126 3.087463 0.003890
сидоров 0.00063 3.212994 0.002024
проводиться 0.00126 1.971986 0.002485
левчинков 0.00063 3.087463 0.001945
соглашение 0.00063 0.133267 0.000084
онлайн 0.005041 0.117836 0.000594
делать 0.00252 0.741688 0.001869
мочь 0.003151 0.0 0.000000
позитивный 0.00063 2.584963 0.001629
трудность 0.00063 2.672425 0.001684
цветковый 0.00063 3.212994 0.002024
прийти 0.00063 1.672425 0.001054
учебный 0.003781 0.0 0.000000
вроде 0.00126 2.86507 0.003610
дерево 0.00063 6.672425 0.004204
фотография 0.00063 1.765535 0.001112
фамилия 0.00063 0.133267 0.000084
личный 0.00252 0.297386 0.000749
студент 0.00063 1.0 0.000630
необходимость 0.00063 2.584963 0.001629
график 0.00063 1.148863 0.000724
приятный 0.00252 1.5025 0.003786
закрепляться 0.00063 1.814444 0.001143
лукаш 0.00063 3.087463 0.001945
легко 0.00063 1.462972 0.000922
давать 0.005671 0.891066 0.005053
долго 0.00063 1.917538 0.001208
заставлять 0.00063 2.087463 0.001315
основа 0.00189 0.741688 0.001402
уместить 0.00063 3.087463 0.001945
сравнение 0.00063 1.028569 0.000648
следующий 0.00063 1.387023 0.000874
каждый 0.004411 0.133267 0.000588
нужный 0.00126 0.814444 0.001026
бёрник 0.00063 3.212994 0.002024
усков 0.00063 3.087463 0.001945
татьяна 0.00063 1.86507 0.001175
насыщенный 0.00063 1.280108 0.000806
служба 0.00063 1.765535 0.001112
таргетировать 0.00063 2.148863 0.001354
имя 0.00063 0.014214 0.000009
домашний 0.004411 0.443607 0.001957
длиться 0.00189 1.765535 0.003337
недосказанность 0.00063 3.087463 0.001945
логично 0.00063 3.212994 0.002024
конфликт 0.00063 3.087463 0.001945
разместить 0.00189 0.117836 0.000223
интересовать 0.00063 0.584963 0.000369
отвагин 0.00063 3.087463 0.001945
бизнес 0.00063 0.117836 0.000074
формула 0.00063 2.971986 0.001872
нибыть 0.00063 2.028569 0.001278
копирайтинг 0.00063 1.180572 0.000744
девушка 0.00063 2.971986 0.001872
сделать 0.00189 0.672425 0.001271
организация 0.00063 1.584963 0.000999
секретик 0.00063 3.212994 0.002024
должный 0.00063 1.765535 0.001112
визуальный 0.00126 0.133267 0.000168
рассказывать 0.00126 1.028569 0.001296
подача 0.00063 1.028569 0.000648
посмотреть 0.00063 0.765535 0.000482
домашка 0.00126 1.718229 0.002165
следовать 0.00063 2.971986 0.001872
виктория 0.00063 1.628031 0.001026
скетчинга 0.00063 3.087463 0.001945
лаконичный 0.00063 2.971986 0.001872
преподаватель 0.024575 0.263034 0.006464
доступ 0.00063 0.424498 0.000267
выучиться 0.00063 2.86507 0.001805
стилистический 0.00126 5.087463 0.006410
шестаков 0.00063 3.087463 0.001945
проверять 0.00063 1.314873 0.000828
писать 0.00063 1.628031 0.001026
проект 0.003781 0.0 0.000000
преподавать 0.00063 2.672425 0.001684
целое 0.00252 1.212994 0.003057
вода 0.00063 0.86507 0.000545
подготовка 0.00063 1.148863 0.000724
обучаться 0.00063 0.789782 0.000498
чат 0.00126 0.891066 0.001123
цена 0.003151 0.297386 0.000937
сложно 0.00063 1.628031 0.001026
советовать 0.00063 2.028569 0.001278
отправить 0.00063 0.10257 0.000065
душа 0.00063 2.765535 0.001742
урок 0.00252 0.297386 0.000749
составить 0.00063 1.350497 0.000851
рубрикатор 0.00063 0.350497 0.000221
поэтому 0.00063 0.650058 0.000410
понять 0.00063 1.028569 0.000648
специалист 0.00189 0.718229 0.001357
платно 0.00063 3.212994 0.002024
пригодиться 0.00126 1.718229 0.002165
светлана 0.00126 1.672425 0.002107
всё 0.009452 0.014214 0.000134
ранний 0.00189 2.424498 0.004582
теоретический 0.00063 1.584963 0.000999
содержать 0.00063 0.180572 0.000114
обратный 0.00189 0.072512 0.000137
внимание 0.00063 1.584963 0.000999
ирина 0.00189 1.672425 0.003161
маргарита 0.00063 3.087463 0.001945
таргет 0.00063 2.5025 0.001577
наталья 0.003151 1.5025 0.004734
яндекс 0.00126 0.133267 0.000168
эскиз 0.00063 5.672425 0.003574
около 0.00063 0.133267 0.000084
ландшафтный 0.005041 4.672425 0.023554
рекомендовать 0.00252 0.5025 0.001266
чувствовать 0.00126 2.672425 0.003367
лист 0.00063 1.718229 0.001082
профессионал 0.00126 0.584963 0.000737
услуга 0.00063 2.424498 0.001527
кабинет 0.00189 0.387023 0.000731
высочин 0.00063 3.212994 0.002024
увлекательный 0.00063 1.387023 0.000874
оформление 0.00252 2.028569 0.005112
ознакомление 0.00063 3.087463 0.001945
опубликовать 0.00063 0.628031 0.000396
время 0.003151 0.014214 0.000045
далее 0.00126 0.584963 0.000737
кадровый 0.00063 2.5025 0.001577
цветочный 0.00126 5.087463 0.006410
рекомендация 0.00063 1.180572 0.000744
территория 0.00126 5.087463 0.006410
работа 0.004411 0.10257 0.000452
комментарий 0.005041 0.10257 0.000517
продумать 0.00126 1.86507 0.002350
купить 0.00063 0.814444 0.000513
финансы 0.00063 0.133267 0.000084
формат 0.00252 0.180572 0.000455
спасибо 0.00126 1.5025 0.001893
срок 0.00126 1.672425 0.002107
принимать 0.00063 0.628031 0.000396
хватать 0.00063 1.917538 0.001208
это 0.00252 0.014214 0.000036
смотреть 0.00063 0.695145 0.000438
знать 0.00126 0.672425 0.000847
действительно 0.00063 1.087463 0.000685
ндфл 0.00063 1.814444 0.001143
автомат 0.00063 3.212994 0.002024
дробышев 0.00063 3.212994 0.002024
просто 0.00063 0.718229 0.000452
проверка 0.00126 0.628031 0.000791
исправлять 0.00063 2.087463 0.001315
ошибка 0.00189 0.072512 0.000137
сообщить 0.00063 0.133267 0.000084
наставник 0.00063 0.839535 0.000529
щагвино 0.00063 3.087463 0.001945
дарья 0.00126 2.280108 0.002873
проектировать 0.00063 4.087463 0.002575
смм 0.00189 1.424498 0.002692
гораздо 0.00063 1.86507 0.001175
видеозапись 0.00063 1.971986 0.001242
регистрация 0.00126 0.133267 0.000168
наш 0.00126 1.148863 0.001448
кук 0.00063 0.133267 0.000084
восторг 0.00063 1.765535 0.001112
изучение 0.00063 0.718229 0.000452
разбираться 0.00063 1.672425 0.001054
создавать 0.00126 0.971986 0.001225
иностранный 0.00063 0.133267 0.000084
оставаться 0.00063 1.0 0.000630
слушать 0.00189 1.462972 0.002765
хап 0.00063 3.212994 0.002024
фотограф 0.00126 2.350497 0.002962
дорожка 0.00063 5.672425 0.003574
декорировать 0.00063 6.672425 0.004204
