термин tf idf tf-idf
познавательный 0.000622 2.350497 0.001462
впечатление 0.000622 1.148863 0.000715
заведение 0.001865 0.133267 0.000249
гость 0.000622 0.133267 0.000083
особенно 0.001243 1.462972 0.001818
большой 0.003729 0.584963 0.002181
превзойти 0.000622 2.424498 0.001508
хороший 0.003108 0.057715 0.000179
месяц 0.001243 0.368645 0.000458
интеллектуальный 0.001243 0.117836 0.000146
друг 0.000622 1.350497 0.000840
дружелюбный 0.000622 2.212994 0.001376
евдокимов 0.000622 3.212994 0.001998
расстанавливать 0.000622 6.672425 0.004150
акция 0.000622 2.148863 0.001337
довольный 0.003729 1.350497 0.005036
выдавать 0.000622 1.765535 0.001098
практический 0.003108 0.350497 0.001089
объяснить 0.000622 1.971986 0.001227
одобрить 0.000622 0.86507 0.000538
нужно 0.001865 0.263034 0.000491
агрегатор 0.000622 0.133267 0.000083
внеурочный 0.000622 3.212994 0.001998
анастасия 0.003108 1.971986 0.006129
скачать 0.000622 2.672425 0.001662
фраза 0.000622 4.087463 0.002542
прочный 0.001243 3.087463 0.003838
искать 0.001865 1.0 0.001865
описание 0.001865 0.971986 0.001813
хобби 0.000622 2.148863 0.001337
проверяться 0.000622 0.814444 0.000507
пытаться 0.000622 2.148863 0.001337
точно 0.000622 1.971986 0.001227
подходящий 0.000622 0.280108 0.000174
тонкость 0.000622 1.814444 0.001129
процесс 0.001243 0.563901 0.000701
выдаваться 0.001865 1.087463 0.002028
снова 0.000622 2.971986 0.001849
графический 0.001243 1.672425 0.002079
новичок 0.003108 0.443607 0.001379
интернет 0.001243 0.917538 0.001140
блог 0.001865 0.0 0.000000
комментировать 0.000622 2.971986 0.001849
дорого 0.000622 2.212994 0.001376
обучать 0.001243 0.117836 0.000146
диплом 0.002486 0.789782 0.001963
сергей 0.000622 2.212994 0.001376
дружелюбно 0.000622 3.212994 0.001998
предмет 0.000622 1.5025 0.000935
фотошоп 0.001243 3.087463 0.003838
сидоров 0.000622 3.212994 0.001998
проводиться 0.001243 1.971986 0.002451
голос 0.000622 4.087463 0.002542
собеседник 0.000622 4.672425 0.002906
овладеть 0.000622 5.672425 0.003528
левчинков 0.000622 3.087463 0.001920
оратор 0.000622 5.672425 0.003528
соглашение 0.000622 0.133267 0.000083
онлайн 0.004972 0.117836 0.000586
мочь 0.003108 0.0 0.000000
позитивный 0.000622 2.584963 0.001608
трудность 0.000622 2.672425 0.001662
делать 0.001865 0.741688 0.001383
цветковый 0.000622 3.212994 0.001998
прийти 0.000622 1.672425 0.001040
учебный 0.003729 0.0 0.000000
вроде 0.001243 2.86507 0.003561
фотография 0.000622 1.765535 0.001098
фамилия 0.000622 0.133267 0.000083
личный 0.002486 0.297386 0.000739
