термин tf idf tf-idf
заведение 0.001754 0.133267 0.000234
гость 0.000877 0.133267 0.000117
большой 0.002632 0.584963 0.001540
хороший 0.002632 0.057715 0.000152
комфортный 0.000877 5.087463 0.004462
понимать 0.001754 2.087463 0.003661
интеллектуальный 0.001754 0.117836 0.000207
друг 0.000877 1.350497 0.001184
одобрить 0.000877 0.86507 0.000759
астролог 0.000877 4.350497 0.003815
благодарность 0.000877 2.672425 0.002344
нужно 0.000877 0.263034 0.000231
агрегатор 0.000877 0.133267 0.000117
понятный 0.000877 1.628031 0.001428
многие 0.001754 2.148863 0.003769
эмоция 0.000877 4.672425 0.004098
конец 0.000877 1.543142 0.001353
проверяться 0.000877 0.814444 0.000714
точно 0.000877 1.971986 0.001729
кешбэк 0.001754 5.672425 0.009949
подходящий 0.000877 0.280108 0.000246
рад 0.000877 5.087463 0.004462
процесс 0.001754 0.563901 0.000989
соответствовать 0.000877 1.350497 0.001184
новичок 0.001754 0.443607 0.000778
оплата 0.002632 1.86507 0.004909
мучить 0.001754 5.087463 0.008923
познакомиться 0.000877 3.087463 0.002708
блог 0.002632 0.0 0.000000
незнакомый 0.000877 5.672425 0.004975
русскоязычный 0.000877 3.087463 0.002708
распечатать 0.000877 3.672425 0.003221
обучать 0.003509 0.117836 0.000413
диплом 0.000877 0.789782 0.000693
поступок 0.001754 5.087463 0.008923
соглашение 0.000877 0.133267 0.000117
онлайн 0.012281 0.117836 0.001447
мочь 0.005263 0.0 0.000000
счастливый 0.000877 5.087463 0.004462
учебный 0.001754 0.0 0.000000
заявка 0.000877 2.280108 0.002000
фамилия 0.000877 0.133267 0.000117
личный 0.004386 0.297386 0.001304
зависеть 0.000877 3.087463 0.002708
продвинуть 0.000877 1.86507 0.001636
проводить 0.000877 1.628031 0.001428
видеоурок 0.001754 0.839535 0.001473
каждый 0.000877 0.133267 0.000117
татьяна 0.000877 1.86507 0.001636
соцсеть 0.000877 1.628031 0.001428
насыщенный 0.000877 1.280108 0.001123
имя 0.000877 0.014214 0.000012
телефон 0.000877 2.86507 0.002513
жалеть 0.000877 2.765535 0.002425
желать 0.000877 4.672425 0.004098
талант 0.000877 5.672425 0.004975
интересовать 0.001754 0.584963 0.001026
разместить 0.001754 0.117836 0.000207
бизнес 0.001754 0.117836 0.000207
энергия 0.000877 5.087463 0.004462
консультант 0.003509 3.087463 0.010834
серьёзно 0.000877 2.280108 0.002000
человек 0.00614 1.180572 0.007249
дмитрий 0.000877 4.087463 0.003585
сделать 0.001754 0.672425 0.001179
кура 0.000877 5.087463 0.004462
рассказывать 0.000877 1.028569 0.000902
подача 0.000877 1.028569 0.000902
визуальный 0.001754 0.133267 0.000234
перейти 0.001754 1.057715 0.001855
жизнь 0.001754 1.917538 0.003363
преподаватель 0.000877 0.263034 0.000231
доступ 0.003509 0.424498 0.001490
вещь 0.000877 2.087463 0.001831
спец 0.000877 3.350497 0.002938
видео 0.001754 0.789782 0.001385
проект 0.001754 0.0 0.000000
статья 0.000877 1.117836 0.000980
вода 0.000877 0.86507 0.000759
подготовка 0.000877 1.148863 0.001008
начало 0.003509 1.246161 0.004373
видно 0.001754 2.86507 0.005025
обучаться 0.001754 0.789782 0.001385
рейтинг 0.001754 1.543142 0.002707
цена 0.003509 0.297386 0.001044
отправить 0.001754 0.10257 0.000180
никифоров 0.000877 5.087463 0.004462
