термин tf idf tf-idf
познавательный 0.000623 2.350497 0.001464
час 0.000623 1.765535 0.001100
впечатление 0.000623 1.148863 0.000716
заведение 0.001868 0.133267 0.000249
гость 0.000623 0.133267 0.000083
особенно 0.001245 1.462972 0.001821
большой 0.003113 0.584963 0.001821
превзойти 0.000623 2.424498 0.001510
хороший 0.003113 0.057715 0.000180
месяц 0.001245 0.368645 0.000459
интеллектуальный 0.001245 0.117836 0.000147
друг 0.000623 1.350497 0.000841
дружелюбный 0.000623 2.212994 0.001379
евдокимов 0.000623 3.212994 0.002002
акция 0.000623 2.148863 0.001339
довольный 0.003736 1.350497 0.005045
выдавать 0.000623 1.765535 0.001100
практический 0.003113 0.350497 0.001091
объяснить 0.000623 1.971986 0.001229
одобрить 0.000623 0.86507 0.000539
нужно 0.001868 0.263034 0.000491
агрегатор 0.000623 0.133267 0.000083
внеурочный 0.000623 3.212994 0.002002
смонтировать 0.000623 5.672425 0.003534
анастасия 0.003113 1.971986 0.006139
скачать 0.000623 2.672425 0.001665
прочный 0.001245 3.087463 0.003844
искать 0.001868 1.0 0.001868
описание 0.001868 0.971986 0.001816
хобби 0.000623 2.148863 0.001339
проверяться 0.000623 0.814444 0.000507
пытаться 0.000623 2.148863 0.001339
точно 0.000623 1.971986 0.001229
подходящий 0.000623 0.280108 0.000175
тонкость 0.000623 1.814444 0.001130
процесс 0.001245 0.563901 0.000702
выдаваться 0.001245 1.087463 0.001354
снова 0.000623 2.971986 0.001852
графический 0.001245 1.672425 0.002082
новичок 0.003736 0.443607 0.001657
интернет 0.001245 0.917538 0.001142
блог 0.001868 0.0 0.000000
комментировать 0.000623 2.971986 0.001852
дорого 0.000623 2.212994 0.001379
обучать 0.001245 0.117836 0.000147
диплом 0.001245 0.789782 0.000983
сергей 0.000623 2.212994 0.001379
дружелюбно 0.000623 3.212994 0.002002
предмет 0.000623 1.5025 0.000936
монтировать 0.001245 5.672425 0.007062
фотошоп 0.001245 3.087463 0.003844
сидоров 0.000623 3.212994 0.002002
проводиться 0.001245 1.971986 0.002455
голос 0.001245 4.087463 0.005089
публиковать 0.000623 5.087463 0.003169
левчинков 0.000623 3.087463 0.001923
соглашение 0.000623 0.133267 0.000083
онлайн 0.004981 0.117836 0.000587
делать 0.003113 0.741688 0.002309
мочь 0.003113 0.0 0.000000
позитивный 0.000623 2.584963 0.001610
трудность 0.000623 2.672425 0.001665
цветковый 0.000623 3.212994 0.002002
прийти 0.000623 1.672425 0.001042
учебный 0.003736 0.0 0.000000
вроде 0.001245 2.86507 0.003567
фотография 0.000623 1.765535 0.001100
фамилия 0.000623 0.133267 0.000083
личный 0.002491 0.297386 0.000741
студент 0.000623 1.0 0.000623
необходимость 0.000623 2.584963 0.001610
график 0.000623 1.148863 0.000716
приятный 0.002491 1.5025 0.003743
закрепляться 0.000623 1.814444 0.001130
лукаш 0.000623 3.087463 0.001923
легко 0.000623 1.462972 0.000911
давать 0.005604 0.891066 0.004994
долго 0.000623 1.917538 0.001195
заставлять 0.000623 2.087463 0.001300
основа 0.001868 0.741688 0.001385
уместить 0.000623 3.087463 0.001923
сравнение 0.000623 1.028569 0.000641
следующий 0.000623 1.387023 0.000864
каждый 0.003736 0.133267 0.000498
загрузить 0.000623 3.5025 0.002182
бёрник 0.000623 3.212994 0.002002
усков 0.000623 3.087463 0.001923
татьяна 0.000623 1.86507 0.001162
нужный 0.001245 0.814444 0.001014
насыщенный 0.000623 1.280108 0.000798
служба 0.000623 1.765535 0.001100
запустить 0.000623 4.350497 0.002710
таргетировать 0.000623 2.148863 0.001339
имя 0.000623 0.014214 0.000009
домашний 0.004981 0.443607 0.002210
телефон 0.000623 2.86507 0.001785
сценарий 0.000623 3.672425 0.002288
длиться 0.001868 1.765535 0.003298
недосказанность 0.000623 3.087463 0.001923
логично 0.000623 3.212994 0.002002
конфликт 0.000623 3.087463 0.001923
разместить 0.001868 0.117836 0.000220
интересовать 0.000623 0.584963 0.000364
отвагин 0.000623 3.087463 0.001923
бизнес 0.000623 0.117836 0.000073
формула 0.000623 2.971986 0.001852
нибыть 0.000623 2.028569 0.001264
копирайтинг 0.000623 1.180572 0.000735
девушка 0.000623 2.971986 0.001852
сделать 0.001868 0.672425 0.001256
организация 0.000623 1.584963 0.000987
секретик 0.000623 3.212994 0.002002
должный 0.000623 1.765535 0.001100
визуальный 0.001245 0.133267 0.000166
рассказывать 0.001245 1.028569 0.001281
подача 0.000623 1.028569 0.000641
подготовить 0.000623 2.584963 0.001610
посмотреть 0.000623 0.765535 0.000477
домашка 0.001245 1.718229 0.002139
озвучивание 0.000623 6.672425 0.004157
следовать 0.000623 2.971986 0.001852
виктория 0.000623 1.628031 0.001014
скетчинга 0.000623 3.087463 0.001923
лаконичный 0.000623 2.971986 0.001852
преподаватель 0.024284 0.263034 0.006388
доступ 0.000623 0.424498 0.000264
выучиться 0.000623 2.86507 0.001785
контент 0.001245 1.86507 0.002322
шестаков 0.000623 3.087463 0.001923
проверять 0.000623 1.314873 0.000819
писать 0.000623 1.628031 0.001014
платформа 0.001245 0.891066 0.001109
проект 0.002491 0.0 0.000000
преподавать 0.000623 2.672425 0.001665
целое 0.002491 1.212994 0.003022
