термин tf idf tf-idf
познавательный 0.000646 2.350497 0.001518
час 0.000646 1.765535 0.001141
впечатление 0.000646 1.148863 0.000742
заведение 0.001939 0.133267 0.000258
гость 0.000646 0.133267 0.000086
особенно 0.001293 1.462972 0.001892
большой 0.003232 0.584963 0.001891
превзойти 0.000646 2.424498 0.001566
хороший 0.004525 0.057715 0.000261
месяц 0.001939 0.368645 0.000715
понимать 0.001293 2.087463 0.002699
интеллектуальный 0.001293 0.117836 0.000152
друг 0.000646 1.350497 0.000872
дружелюбный 0.000646 2.212994 0.001430
евдокимов 0.000646 3.212994 0.002076
акция 0.000646 2.148863 0.001388
довольный 0.003878 1.350497 0.005237
выдавать 0.000646 1.765535 0.001141
практический 0.004525 0.350497 0.001586
астролог 0.001293 4.350497 0.005625
объяснить 0.000646 1.971986 0.001274
одобрить 0.000646 0.86507 0.000559
нужно 0.001939 0.263034 0.000510
агрегатор 0.000646 0.133267 0.000086
внеурочный 0.000646 3.212994 0.002076
анастасия 0.003232 1.971986 0.006373
скачать 0.000646 2.672425 0.001726
прочный 0.001293 3.087463 0.003992
искать 0.001939 1.0 0.001939
описание 0.001939 0.971986 0.001885
хобби 0.000646 2.148863 0.001388
проверяться 0.000646 0.814444 0.000526
пытаться 0.000646 2.148863 0.001388
точно 0.000646 1.971986 0.001274
подходящий 0.000646 0.280108 0.000181
тонкость 0.000646 1.814444 0.001172
процесс 0.001939 0.563901 0.001093
выдаваться 0.001939 1.087463 0.002109
снова 0.000646 2.971986 0.001920
графический 0.001293 1.672425 0.002162
новичок 0.003232 0.443607 0.001434
интернет 0.001293 0.917538 0.001186
блог 0.001939 0.0 0.000000
комментировать 0.000646 2.971986 0.001920
дорого 0.000646 2.212994 0.001430
обучать 0.001293 0.117836 0.000152
диплом 0.003232 0.789782 0.002553
сергей 0.000646 2.212994 0.001430
дружелюбно 0.000646 3.212994 0.002076
предмет 0.000646 1.5025 0.000971
фотошоп 0.001293 3.087463 0.003992
гибкий 0.000646 2.424498 0.001566
сидоров 0.000646 3.212994 0.002076
проводиться 0.000646 1.971986 0.001274
левчинков 0.000646 3.087463 0.001995
соглашение 0.000646 0.133267 0.000086
онлайн 0.005171 0.117836 0.000609
делать 0.002586 0.741688 0.001918
позитивный 0.000646 2.584963 0.001670
мочь 0.002586 0.0 0.000000
трудность 0.000646 2.672425 0.001726
цветковый 0.000646 3.212994 0.002076
прийти 0.000646 1.672425 0.001080
учебный 0.004525 0.0 0.000000
вроде 0.001293 2.86507 0.003705
фотография 0.000646 1.765535 0.001141
фамилия 0.000646 0.133267 0.000086
личный 0.001939 0.297386 0.000577
студент 0.000646 1.0 0.000646
график 0.001939 1.148863 0.002228
приятный 0.002586 1.5025 0.003885
закрепляться 0.000646 1.814444 0.001172
лукаш 0.000646 3.087463 0.001995
легко 0.000646 1.462972 0.000945
видеоурок 0.000646 0.839535 0.000542
давать 0.005818 0.891066 0.005184
долго 0.000646 1.917538 0.001239
заставлять 0.000646 2.087463 0.001349
основа 0.001939 0.741688 0.001438
уместить 0.000646 3.087463 0.001995
сравнение 0.000646 1.028569 0.000664
каждый 0.003878 0.133267 0.000517
нужный 0.001293 0.814444 0.001053
бёрник 0.000646 3.212994 0.002076
усков 0.000646 3.087463 0.001995
татьяна 0.000646 1.86507 0.001205
