термин tf idf tf-idf
заведение 0.001845 0.133267 0.000246
гость 0.000923 0.133267 0.000123
доска 0.000923 4.087463 0.003773
хороший 0.001845 0.057715 0.000106
месяц 0.000923 0.368645 0.000340
интеллектуальный 0.001845 0.117836 0.000217
друг 0.000923 1.350497 0.001247
практический 0.001845 0.350497 0.000647
платный 0.000923 1.350497 0.001247
нужно 0.001845 0.263034 0.000485
агрегатор 0.000923 0.133267 0.000123
подарок 0.000923 3.212994 0.002966
подходящий 0.000923 0.280108 0.000259
блог 0.002768 0.0 0.000000
русскоязычный 0.000923 3.087463 0.002850
обучать 0.004613 0.117836 0.000544
предмет 0.002768 1.5025 0.004159
достижение 0.000923 3.672425 0.003390
командный 0.000923 3.350497 0.003093
гибкий 0.000923 2.424498 0.002238
проводиться 0.000923 1.971986 0.001820
соглашение 0.000923 0.133267 0.000123
канада 0.000923 3.672425 0.003390
онлайн 0.019373 0.117836 0.002283
мочь 0.005535 0.0 0.000000
учебный 0.001845 0.0 0.000000
фамилия 0.000923 0.133267 0.000123
личный 0.004613 0.297386 0.001372
проводить 0.000923 1.628031 0.001503
выпустить 0.000923 2.672425 0.002467
график 0.00369 1.148863 0.004239
сдвоить 0.000923 4.087463 0.003773
оценить 0.000923 1.424498 0.001315
мероприятие 0.002768 1.86507 0.005163
каждый 0.002768 0.133267 0.000369
загрузить 0.000923 3.5025 0.003233
март 0.001845 1.672425 0.003086
имя 0.000923 0.014214 0.000013
домашний 0.001845 0.443607 0.000818
длиться 0.000923 1.765535 0.001630
разместить 0.001845 0.117836 0.000217
бизнес 0.001845 0.117836 0.000217
огэ 0.001845 3.86507 0.007131
визуальный 0.001845 0.133267 0.000246
дистанционно 0.000923 1.314873 0.001214
перейти 0.000923 1.057715 0.000976
квалифицировать 0.000923 2.672425 0.002467
июль 0.000923 3.672425 0.003390
преподаватель 0.02214 0.263034 0.005824
тетрик 0.005535 3.86507 0.021393
видео 0.000923 0.789782 0.000729
платформа 0.005535 0.891066 0.004932
перенос 0.004613 3.672425 0.016941
проект 0.001845 0.0 0.000000
статья 0.002768 1.117836 0.003094
подготовка 0.002768 1.148863 0.003180
родитель 0.00369 3.672425 0.013551
обучаться 0.000923 0.789782 0.000729
рейтинг 0.001845 1.543142 0.002847
цена 0.00369 0.297386 0.001097
подготовиться 0.001845 3.5025 0.006462
отправить 0.000923 0.10257 0.000095
россия 0.000923 1.765535 0.001630
игровой 0.001845 3.5025 0.006462
великобритания 0.000923 3.672425 0.003390
урок 0.035055 0.297386 0.010425
рубрикатор 0.000923 0.350497 0.000324
подстраивать 0.000923 2.028569 0.001872
всё 0.009225 0.014214 0.000131
рукоделие 0.000923 2.765535 0.002553
летний 0.008303 3.5025 0.029081
возрастание 0.001845 1.584963 0.002924
тренажёр 0.000923 3.5025 0.003233
содержать 0.000923 0.180572 0.000167
обратный 0.001845 0.072512 0.000134
интеллект 0.000923 2.971986 0.002743
яндекс 0.001845 0.133267 0.000246
около 0.000923 0.133267 0.000123
рекомендовать 0.000923 0.5025 0.000464
профессионал 0.000923 0.584963 0.000540
кабинет 0.004613 0.387023 0.001785
сопровождение 0.000923 2.028569 0.001872
компьютер 0.000923 3.5025 0.003233
координатор 0.000923 1.718229 0.001586
письмо 0.002768 3.350497 0.009274
год 0.021218 0.387023 0.008212
фильтр 0.000923 1.462972 0.001350
время 0.004613 0.014214 0.000066
далее 0.000923 0.584963 0.000540
работа 0.000923 0.10257 0.000095
комментарий 0.000923 0.10257 0.000095
подряд 0.000923 3.672425 0.003390
финансы 0.000923 0.133267 0.000123
формат 0.002768 0.180572 0.000500
продавать 0.000923 2.350497 0.002170
соболев 0.001845 1.543142 0.002847
точка 0.000923 1.86507 0.001721
это 0.005535 0.014214 0.000079
смотреть 0.000923 0.695145 0.000642
