термин tf idf tf-idf
познавательный 0.000652 2.350497 0.001533
час 0.000652 1.765535 0.001151
впечатление 0.000652 1.148863 0.000749
заведение 0.001956 0.133267 0.000261
гость 0.000652 0.133267 0.000087
особенно 0.001304 1.462972 0.001908
большой 0.003259 0.584963 0.001906
превзойти 0.000652 2.424498 0.001581
хороший 0.003259 0.057715 0.000188
месяц 0.000652 0.368645 0.000240
интеллектуальный 0.001304 0.117836 0.000154
друг 0.000652 1.350497 0.000881
дружелюбный 0.000652 2.212994 0.001443
евдокимов 0.000652 3.212994 0.002095
акция 0.000652 2.148863 0.001401
довольный 0.003911 1.350497 0.005282
выдавать 0.000652 1.765535 0.001151
астролог 0.002608 4.350497 0.011346
практический 0.003259 0.350497 0.001142
объяснить 0.000652 1.971986 0.001286
одобрить 0.000652 0.86507 0.000564
нужно 0.001956 0.263034 0.000514
агрегатор 0.000652 0.133267 0.000087
внеурочный 0.000652 3.212994 0.002095
анастасия 0.003259 1.971986 0.006427
скачать 0.000652 2.672425 0.001742
прочный 0.001304 3.087463 0.004026
искать 0.001956 1.0 0.001956
описание 0.001956 0.971986 0.001901
хобби 0.000652 2.148863 0.001401
проверяться 0.000652 0.814444 0.000531
пытаться 0.000652 2.148863 0.001401
точно 0.000652 1.971986 0.001286
подходящий 0.000652 0.280108 0.000183
тонкость 0.000652 1.814444 0.001183
процесс 0.001956 0.563901 0.001103
выдаваться 0.001304 1.087463 0.001418
снова 0.000652 2.971986 0.001938
графический 0.001304 1.672425 0.002181
новичок 0.003259 0.443607 0.001446
интернет 0.001304 0.917538 0.001196
именной 0.001304 4.350497 0.005673
ситуация 0.000652 4.672425 0.003046
блог 0.001956 0.0 0.000000
комментировать 0.000652 2.971986 0.001938
дорого 0.000652 2.212994 0.001443
обучать 0.001304 0.117836 0.000154
диплом 0.001304 0.789782 0.001030
сергей 0.000652 2.212994 0.001443
дружелюбно 0.000652 3.212994 0.002095
предмет 0.000652 1.5025 0.000980
фотошоп 0.001304 3.087463 0.004026
гибкий 0.000652 2.424498 0.001581
сидоров 0.000652 3.212994 0.002095
проводиться 0.000652 1.971986 0.001286
левчинков 0.000652 3.087463 0.002013
соглашение 0.000652 0.133267 0.000087
онлайн 0.005215 0.117836 0.000615
делать 0.002608 0.741688 0.001934
позитивный 0.000652 2.584963 0.001685
мочь 0.002608 0.0 0.000000
трудность 0.000652 2.672425 0.001742
цветковый 0.000652 3.212994 0.002095
прийти 0.000652 1.672425 0.001090
учебный 0.004563 0.0 0.000000
вроде 0.001304 2.86507 0.003736
фотография 0.000652 1.765535 0.001151
фамилия 0.000652 0.133267 0.000087
личный 0.001956 0.297386 0.000582
студент 0.000652 1.0 0.000652
график 0.001956 1.148863 0.002247
приятный 0.002608 1.5025 0.003919
закрепляться 0.000652 1.814444 0.001183
лукаш 0.000652 3.087463 0.002013
легко 0.000652 1.462972 0.000954
давать 0.005867 0.891066 0.005228
долго 0.000652 1.917538 0.001250
заставлять 0.000652 2.087463 0.001361
основа 0.001956 0.741688 0.001451
уместить 0.000652 3.087463 0.002013
сравнение 0.000652 1.028569 0.000671
каждый 0.004563 0.133267 0.000608
нужный 0.001304 0.814444 0.001062
бёрник 0.000652 3.212994 0.002095
усков 0.000652 3.087463 0.002013
татьяна 0.000652 1.86507 0.001216
насыщенный 0.000652 1.280108 0.000835
служба 0.000652 1.765535 0.001151
таргетировать 0.000652 2.148863 0.001401
имя 0.000652 0.014214 0.000009
домашний 0.003911 0.443607 0.001735
длиться 0.002608 1.765535 0.004605
недосказанность 0.000652 3.087463 0.002013
логично 0.000652 3.212994 0.002095
конфликт 0.000652 3.087463 0.002013
интересовать 0.000652 0.584963 0.000381
разместить 0.001304 0.117836 0.000154
отвагин 0.000652 3.087463 0.002013
бизнес 0.000652 0.117836 0.000077
консультант 0.000652 3.087463 0.002013
формула 0.000652 2.971986 0.001938
нибыть 0.000652 2.028569 0.001323
копирайтинг 0.000652 1.180572 0.000770
девушка 0.000652 2.971986 0.001938
сделать 0.000652 0.672425 0.000438
организация 0.000652 1.584963 0.001033
секретик 0.000652 3.212994 0.002095
должный 0.000652 1.765535 0.001151
визуальный 0.001304 0.133267 0.000174
рассказывать 0.001304 1.028569 0.001341
подача 0.000652 1.028569 0.000671
деятельность 0.000652 3.5025 0.002284
домашка 0.001304 1.718229 0.002241
виктория 0.000652 1.628031 0.001061
взаимосвязь 0.000652 4.672425 0.003046
лаконичный 0.000652 2.971986 0.001938
скетчинга 0.000652 3.087463 0.002013
преподаватель 0.024772 0.263034 0.006516
доступ 0.001304 0.424498 0.000554
выучиться 0.000652 2.86507 0.001868
шестаков 0.000652 3.087463 0.002013
проверять 0.000652 1.314873 0.000857
писать 0.000652 1.628031 0.001061
