термин tf idf tf-idf
заведение 0.001461 0.133267 0.000195
приобрести 0.00073 4.350497 0.003176
гость 0.00073 0.133267 0.000097
особенно 0.00073 1.462972 0.001068
большой 0.00073 0.584963 0.000427
превзойти 0.00073 2.424498 0.001770
хороший 0.002922 0.057715 0.000169
месяц 0.005113 0.368645 0.001885
интеллектуальный 0.001461 0.117836 0.000172
дружелюбный 0.00073 2.212994 0.001615
выпуск 0.00073 2.971986 0.002170
акция 0.00073 2.148863 0.001569
довольный 0.002191 1.350497 0.002959
выдавать 0.00073 1.765535 0.001289
объяснить 0.00073 1.971986 0.001440
практический 0.005113 0.350497 0.001792
одобрить 0.00073 0.86507 0.000632
платный 0.001461 1.350497 0.001973
астролог 0.002191 4.350497 0.009532
нужно 0.002191 0.263034 0.000576
агрегатор 0.00073 0.133267 0.000097
смонтировать 0.00073 5.672425 0.004141
анастасия 0.00073 1.971986 0.001440
прочный 0.00073 3.087463 0.002254
искать 0.001461 1.0 0.001461
звук 0.00073 1.917538 0.001400
проверяться 0.00073 0.814444 0.000595
точно 0.00073 1.971986 0.001440
сбер 0.00073 6.672425 0.004871
пытаться 0.00073 2.148863 0.001569
подходящий 0.00073 0.280108 0.000204
процесс 0.00073 0.563901 0.000412
заказчик 0.00073 2.280108 0.001664
новичок 0.00073 0.443607 0.000324
среди 0.00073 3.087463 0.002254
блог 0.002191 0.0 0.000000
комментировать 0.00073 2.971986 0.002170
обучать 0.002191 0.117836 0.000258
открытие 0.00073 5.087463 0.003714
диплом 0.001461 0.789782 0.001154
фотошоп 0.00073 3.087463 0.002254
левчинков 0.00073 3.087463 0.002254
соглашение 0.00073 0.133267 0.000097
оратор 0.00073 5.672425 0.004141
онлайн 0.013148 0.117836 0.001549
мочь 0.003652 0.0 0.000000
делать 0.002191 0.741688 0.001625
учебный 0.003652 0.0 0.000000
центр 0.00073 1.280108 0.000934
вроде 0.001461 2.86507 0.004186
заявка 0.00073 2.280108 0.001664
квартира 0.00073 5.087463 0.003714
фотография 0.00073 1.765535 0.001289
фамилия 0.00073 0.133267 0.000097
личный 0.00073 0.297386 0.000217
зависеть 0.00073 3.087463 0.002254
студент 0.00073 1.0 0.000730
выпустить 0.00073 2.672425 0.001951
приятный 0.00073 1.5025 0.001097
лукаш 0.00073 3.087463 0.002254
выгодно 0.00073 3.86507 0.002822
давать 0.002191 0.891066 0.001952
долго 0.00073 1.917538 0.001400
заставлять 0.00073 2.087463 0.001524
основа 0.00073 0.741688 0.000541
уместить 0.00073 3.087463 0.002254
нужный 0.00073 0.814444 0.000595
каждый 0.00073 0.133267 0.000097
усков 0.00073 3.087463 0.002254
соцсеть 0.00073 1.628031 0.001188
сколько 0.00073 2.280108 0.001664
имя 0.00073 0.014214 0.000010
домашний 0.007305 0.443607 0.003241
сценарий 0.001461 3.672425 0.005365
длиться 0.001461 1.765535 0.002579
недосказанность 0.00073 3.087463 0.002254
утром 0.00073 5.672425 0.004141
интересовать 0.001461 0.584963 0.000855
разместить 0.002191 0.117836 0.000258
алексей 0.00073 2.424498 0.001770
сеть 0.001461 1.057715 0.001545
отвагин 0.00073 3.087463 0.002254
бизнес 0.002191 0.117836 0.000258
зно 0.00073 6.672425 0.004871
консультант 0.002191 3.087463 0.006765
нибыть 0.00073 2.028569 0.001481
